Year,Month,Day,Hour,Temp,Dewtemp,Pressure,WindDir,WindSpeed,Sky,Precip1,Precip6,ID
2010,1,1,0,-61,-81,10272,260,30,5,-9999,0,010010-99999
2010,1,1,18,-22,-50,10296,250,50,4,-9999,-9999,010010-99999
2010,1,2,0,-8,-30,10294,270,90,4,-9999,0,010010-99999
2010,1,2,15,-18,-94,10358,10,60,2,-9999,-9999,010010-99999
2010,1,3,0,-38,-9999,10352,340,80,1,-9999,0,010010-99999
2010,1,3,3,-51,-105,10323,340,60,3,-9999,-9999,010010-99999
2010,1,3,6,-51,-105,10323,340,60,3,-9999,-9999,010010-99999
2010,1,3,9,-57,-9999,-9999,350,70,2,-9999,-9999,010010-99999
2010,1,3,12,-58,-9999,10308,350,70,3,-9999,0,010010-99999
2010,1,3,15,-57,-112,10305,360,100,5,-9999,-9999,010010-99999
2010,1,3,18,-61,-110,10306,360,100,8,-9999,-9999,010010-99999
2010,1,4,0,-75,-121,10311,360,110,6,-9999,0,010010-99999
2010,1,4,6,-56,-78,10307,360,110,5,-9999,-9999,010010-99999
2010,1,4,9,-43,-105,10319,360,100,6,-9999,-9999,010010-99999
2010,1,4,12,-47,-111,10325,10,100,8,-9999,-1,010010-99999
2010,1,4,14,-53,-109,10327,360,100,-9999,-9999,-9999,010010-99999
2010,1,4,15,-56,-117,10330,10,90,6,-9999,-9999,010010-99999
2010,1,4,16,-58,-121,10331,360,90,-9999,-9999,-9999,010010-99999
2010,1,4,17,-61,-125,10329,10,80,-9999,-9999,-9999,010010-99999
2010,1,4,18,-59,-108,10329,340,70,8,-9999,-9999,010010-99999
2010,1,4,19,-66,-101,10330,350,70,-9999,-9999,-9999,010010-99999
2010,1,4,20,-65,-124,10330,340,60,-9999,-9999,-9999,010010-99999
2010,1,4,21,-65,-95,10329,360,70,-9999,-9999,-9999,010010-99999
2010,1,4,22,-66,-118,10328,350,60,-9999,-9999,-9999,010010-99999
2010,1,4,23,-65,-93,10325,340,70,-9999,-9999,-9999,010010-99999
2010,1,5,0,-68,-106,10322,340,60,8,-9999,-1,010010-99999
2010,1,5,1,-68,-117,10320,350,80,-9999,-9999,-9999,010010-99999
2010,1,5,2,-70,-112,10318,340,70,-9999,-9999,-9999,010010-99999
2010,1,5,3,-70,-117,10315,340,70,-9999,-9999,-9999,010010-99999
2010,1,5,4,-70,-112,10310,10,60,-9999,-9999,-9999,010010-99999
2010,1,5,5,-69,-117,10306,330,50,-9999,-9999,-9999,010010-99999
2010,1,5,6,-67,-113,10302,350,50,7,-9999,-9999,010010-99999
2010,1,5,7,-65,-112,10299,360,30,-9999,-9999,-9999,010010-99999
2010,1,5,8,-65,-118,10295,360,30,-9999,-9999,-9999,010010-99999
